APN,Application Received,Application Year,Council District,Address_left,City,Zip_left,Units Withdrawn,Replacement Unit,Latitude_left,Longitude_left,lat_lon_left,geometry,Address_right,Zip_right,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Rec Year,Entitlement,Zip_right,C of O,Extremely Low (AMI 30%),"Very, Very Low (45%)",Very Low (AMI 50%),Low (AMI 50%-80%),Moderate (AMI 120%),Workforce (AMI 150%),Types of Density Bonus/Discretionary/Specific Plan,source,Cleaned_Address,Latitude_right,Longitude_right,lat_lon_right,index_right,OBJECTID,name
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),14222 W. Victory Blvd.,91401.0,6.0,2019,3.0,18,0.1666666666666666,2019,DB,91401,,,,2.0,1.0,,,,deduplicated_matched,14222 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),14748 W. Victory Blvd.,91411.0,6.0,2019,1.0,11,0.0909090909090909,2019,TOC,91411,2022-08-26 00:00:00,1.0,,,,,,TOC Tier 1,deduplicated_matched,14748 W. Victory Blvd.,34.1864751,-118.4676617,"(34.1864751, -118.4676617)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13210 W. Victory Blvd.,91401.0,2.0,2019,1.0,30,0.0333333333333333,2019,Other/Discretionary,91401,,,,,,1.0,,UDU,deduplicated_matched,13210 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13724 W. Victory Blvd.,91401.0,2.0,2018,4.0,67,0.0597014925373134,2018,DB,91401,2022-02-14 00:00:00,,,4.0,,,,,deduplicated_matched,13724 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),14827 W Victory Blvd,91411.0,6.0,2016,2.0,9,0.2222222222222222,2016,DB,91411,,,,1.0,1.0,,,,deduplicated_matched,14827 W Victory Blvd,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13919 W Victory Blvd,91401.0,2.0,2015,2.0,18,0.1111111111111111,2015,DB,91401,"12/22/21, Corrected 04/04/22",,,2.0,,,,,deduplicated_matched,13919 W Victory Blvd,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),15003 West Victory Blvd,91411.0,6.0,2014,2.0,17,0.1176470588235294,2014,DB,91411,2015-10-09 00:00:00,,,2.0,,,,,deduplicated_matched,15003 West Victory Blvd,34.1864751,-118.4677498,"(34.1864751, -118.4677498)",96.0,97.0,Van Nuys
2240012013,5/17/2016,2016,6,14307 W FRIAR ST,VAN NUYS ,91401.0,2.0,0.0,34.1859052,-118.4447108,"(34.1859052, -118.4447108)",POINT (366870.19015744654 3783712.286158806),14307 W. Friar St.,91401.0,6.0,2018,6.0,30,0.2,2018,DB,91401,2021-12-22 00:00:00,,,4.0,2.0,,,,deduplicated_matched,14307 W. Friar St.,34.1859052,-118.4447108,"(34.1859052, -118.4447108)",96.0,97.0,Van Nuys
2240012014,6/27/2017,2017,6,14311 W FRIAR ST,VAN NUYS ,91401.0,2.0,30.0,34.1858953,-118.4448768,"(34.1858953, -118.4448768)",POINT (366854.8765265347 3783711.4051019833),14307 W. Friar St.,91401.0,6.0,2018,6.0,30,0.2,2018,DB,91401,2021-12-22 00:00:00,,,4.0,2.0,,,,deduplicated_matched,14307 W. Friar St.,34.1859052,-118.4447108,"(34.1859052, -118.4447108)",96.0,97.0,Van Nuys
2240013006,1/16/2019,2019,6,14226 W VICTORY BLVD,VAN NUYS ,91401.0,4.0,18.0,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13716 W. Victory Blvd.,91401.0,2.0,2021,4.0,32,0.125,2021,DB,91401,,,,4.0,,,,4 Waivers of Development Standards,deduplicated_matched,13716 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
